time,EXT_TMP,EXT_WIND_DIRECT,EXT_WIND_SPEED,INT_CO2,INT_REL_HD,INT_TMP,MAX_EXT_TMP,MIN_EXT_TMP
2021-07-01 16:40:00+00:00,28.74,90.0,1.83,309.7,47.3,19.54,29.0,28.4
2021-07-01 16:50:00+00:00,28.79,90.0,1.22,308.7,48.39,19.49,29.0,28.5
2021-07-01 17:00:00+00:00,29.08,90.0,1.62,249.17,58.83,31.33,29.4,28.7
2021-07-01 17:10:00+00:00,28.75,90.0,1.58,313.3,47.86,19.47,29.2,28.5
2021-07-01 17:20:00+00:00,28.83,90.0,1.44,295.9,48.97,19.73,29.2,28.5
2021-07-01 17:30:00+00:00,28.95,90.0,1.28,300.5,48.45,19.78,29.3,28.5
2021-07-01 17:40:00+00:00,28.7,270.0,0.93,306.44,48.01,19.46,29.0,28.5
2021-07-01 17:50:00+00:00,28.98,90.0,0.89,307.0,46.44,19.45,29.4,28.7
2021-07-01 18:00:00+00:00,25.67,90.0,1.64,272.42,63.42,29.08,29.4,28.9
2021-07-01 18:10:00+00:00,29.22,90.0,0.7,320.5,49.93,19.0,29.4,28.7
2021-07-01 18:20:00+00:00,28.86,90.0,0.74,314.2,48.99,18.9,29.0,28.7
2021-07-01 18:30:00+00:00,28.62,270.0,0.77,320.0,48.91,18.76,29.0,28.3
2021-07-01 18:40:00+00:00,28.23,90.0,0.9,318.9,50.12,18.41,28.3,28.1
2021-07-01 18:50:00+00:00,28.26,90.0,0.65,321.9,51.33,18.27,28.5,27.9
2021-07-01 19:00:00+00:00,23.92,90.0,1.14,296.33,72.67,28.33,28.1,27.6
2021-07-01 19:10:00+00:00,27.74,90.0,0.69,329.8,51.92,17.96,28.0,27.5
2021-07-01 19:20:00+00:00,27.56,90.0,0.08,335.4,52.49,17.72,27.7,27.4
2021-07-01 19:30:00+00:00,27.05,90.0,0.07,342.9,54.28,17.42,27.5,26.8
2021-07-01 19:40:00+00:00,26.41,90.0,0.14,353.7,55.43,17.12,26.7,26.0
2021-07-01 19:50:00+00:00,25.54,90.0,0.1,362.0,59.22,16.74,26.0,25.3
2021-07-01 20:00:00+00:00,22.25,90.0,0.79,354.5,75.25,26.42,25.4,25.0
2021-07-01 20:10:00+00:00,24.8,90.0,0.21,394.9,62.88,16.48,25.0,24.6
2021-07-01 20:20:00+00:00,24.32,90.0,0.41,409.7,64.38,16.36,24.5,24.2
2021-07-01 20:30:00+00:00,24.25,90.0,0.26,423.3,64.74,16.29,24.5,24.0
2021-07-01 20:40:00+00:00,23.77,90.0,0.22,433.7,65.01,16.17,24.0,23.5
2021-07-01 20:50:00+00:00,23.45,90.0,0.13,443.7,64.81,16.14,23.7,23.2
2021-07-01 21:00:00+00:00,21.42,90.0,0.53,410.92,76.83,25.08,23.5,23.2
2021-07-01 21:10:00+00:00,23.19,90.0,0.31,466.9,66.4,15.9,23.4,23.0
2021-07-01 21:20:00+00:00,22.91,90.0,0.12,478.4,66.33,15.85,23.1,22.7
2021-07-01 21:30:00+00:00,22.68,90.0,0.0,486.9,66.38,15.79,22.9,22.5
2021-07-01 21:40:00+00:00,22.65,90.0,0.02,497.0,66.32,15.75,22.9,22.5
2021-07-01 21:50:00+00:00,22.55,90.0,0.07,503.4,66.46,15.7,22.7,22.4
2021-07-01 22:00:00+00:00,20.83,90.0,0.54,449.83,78.25,23.92,22.4,22.1
2021-07-01 22:10:00+00:00,22.01,90.0,0.0,526.7,66.31,15.49,22.2,21.9
